Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
A1034	31180	2019-14-1034	Mibi	9/3/2019	SAM d13 Trt4-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 4 Run 1 Heat pump 2	f
A1035	34163	2019-14-1035	Mibi	9/3/2019	SAM d13 Trt5-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 5 Run 1 Heat pump 1	b
A1036	31931	2019-14-1036	Mibi	9/3/2019	SAM d13 Trt5-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 5 Run 1 Heat pump 2	i
A1037	21450	2019-14-1037	Mibi	8/28/2019	Fermenter liquid d7 Trt1-Run1-HP1	Fermenter liquid at day 7	Treatment 1 Run 1 Heat pump 1	e
A1038	21300	2019-14-1038	Mibi	8/28/2019	Fermenter liquid d7 Trt1-Run1-HP2	Fermenter liquid at day 7	Treatment 1 Run 1 Heat pump 2	j
A1039	15546	2019-14-1039	Mibi	8/28/2019	Fermenter liquid d7 Trt2-Run1-HP1	Fermenter liquid at day 7	Treatment 2 Run 1 Heat pump 1	d
A1040	21097	2019-14-1040	Mibi	8/28/2019	Fermenter liquid d7 Trt2-Run1-HP2	Fermenter liquid at day 7	Treatment 2 Run 1 Heat pump 2	h
A1041	22911	2019-14-1041	Mibi	8/28/2019	Fermenter liquid d7 Trt3-Run1-HP1	Fermenter liquid at day 7	Treatment 3 Run 1 Heat pump 1	a
A1042	21976	2019-14-1042	Mibi	8/28/2019	Fermenter liquid d7 Trt3-Run1-HP2	Fermenter liquid at day 7	Treatment 3 Run 1 Heat pump 2	g
A1043	25330	2019-14-1043	Mibi	8/28/2019	Fermenter liquid d7 Trt4-Run1-HP1	Fermenter liquid at day 7	Treatment 4 Run 1 Heat pump 1	c
A1044	26406	2019-14-1044	Mibi	8/28/2019	Fermenter liquid d7 Trt4-Run1-HP2	Fermenter liquid at day 7	Treatment 4 Run 1 Heat pump 2	f
A1045	24130	2019-14-1045	Mibi	8/28/2019	Fermenter liquid d7 Trt5-Run1-HP1	Fermenter liquid at day 7	Treatment 5 Run 1 Heat pump 1	b
A1046	22707	2019-14-1046	Mibi	8/28/2019	Fermenter liquid d7 Trt5-Run1-HP2	Fermenter liquid at day 7	Treatment 5 Run 1 Heat pump 2	i
A1047	22567	2019-14-1047	Mibi	9/3/2019	Fermenter liquid d13 Trt1-Run1-HP1	Fermenter liquid at day 13	Treatment 1 Run 1 Heat pump 1	e
A1048	21350	2019-14-1048	Mibi	9/3/2019	Fermenter liquid d13 Trt1-Run1-HP2	Fermenter liquid at day 13	Treatment 1 Run 1 Heat pump 2	j
A1049	23771	2019-14-1049	Mibi	9/3/2019	Fermenter liquid d13 Trt2-Run1-HP1	Fermenter liquid at day 13	Treatment 2 Run 1 Heat pump 1	d
A1050	21491	2019-14-1050	Mibi	9/3/2019	Fermenter liquid d13 Trt2-Run1-HP2	Fermenter liquid at day 13	Treatment 2 Run 1 Heat pump 2	h
A1051	26290	2019-14-1051	Mibi	9/3/2019	Fermenter liquid d13 Trt3-Run1-HP1	Fermenter liquid at day 13	Treatment 3 Run 1 Heat pump 1	a
A1052	28555	2019-14-1052	Mibi	9/3/2019	Fermenter liquid d13 Trt3-Run1-HP2	Fermenter liquid at day 13	Treatment 3 Run 1 Heat pump 2	g
A1053	23599	2019-14-1053	Mibi	9/3/2019	Fermenter liquid d13 Trt4-Run1-HP1	Fermenter liquid at day 13	Treatment 4 Run 1 Heat pump 1	c
A1054	22265	2019-14-1054	Mibi	9/3/2019	Fermenter liquid d13 Trt4-Run1-HP2	Fermenter liquid at day 13	Treatment 4 Run 1 Heat pump 2	f
A1055	24105	2019-14-1055	Mibi	9/3/2019	Fermenter liquid d13 Trt5-Run1-HP1	Fermenter liquid at day 13	Treatment 5 Run 1 Heat pump 1	b
A1056	25773	2019-14-1056	Mibi	9/3/2019	Fermenter liquid d13 Trt5-Run1-HP2	Fermenter liquid at day 13	Treatment 5 Run 1 Heat pump 2	i
A1057	20128	2019-14-1057	Mibi	8/28/2019	Effluent d7 Trt1-Run1-HP1	Effluent at day 7	Treatment 1 Run 1 Heat pump 1	e
A1058	27159	2019-14-1058	Mibi	8/28/2019	Effluent d7 Trt1-Run1-HP2	Effluent at day 7	Treatment 1 Run 1 Heat pump 2	j
A1059	32644	2019-14-1059	Mibi	8/28/2019	Effluent d7 Trt2-Run1-HP1	Effluent at day 7	Treatment 2 Run 1 Heat pump 1	d
